country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
Bangladesh,0.5,-236,-3,20,10,538070
India,0.8,180,62,25,20,536931
Bangladesh,0.5,-236,-3,20,10,538071
West Indies,0.375,238,-16,16,6,536932
West Indies,0.375,238,-16,16,6,536933
Sri Lanka,0.6470588235294118,607,8,17,11,514035
South Africa,0.5833333333333334,727,5,12,7,514036
Sri Lanka,0.5217391304347826,327,-3,23,12,514038
Sri Lanka,0.5217391304347826,327,-3,23,12,514039
Zimbabwe,0.375,-15,-27,16,6,520592
Zimbabwe,0.375,-15,-27,16,6,520593
India,0.782608695652174,485,36,23,18,518957
Zimbabwe,0.375,-15,-27,16,6,520594
Sri Lanka,0.5217391304347826,327,-3,23,12,518958
India,0.782608695652174,485,36,23,18,518959
Pakistan,0.8181818181818182,312,48,22,18,531631
Pakistan,0.8181818181818182,312,48,22,18,531632
England,0.3333333333333333,-250,-27,15,5,531633
Kenya,0.0,-426,-24,6,0,543881
India,0.782608695652174,485,36,23,18,518962
Kenya,0.0,-426,-24,6,0,543882
England,0.3333333333333333,-250,-27,15,5,531634
India,0.782608695652174,485,36,23,18,518963
Sri Lanka,0.5217391304347826,327,-3,23,12,518964
South Africa,0.5833333333333334,727,5,12,7,520600
India,0.782608695652174,485,36,23,18,518965
India,0.782608695652174,485,36,23,18,518966
South Africa,0.5833333333333334,727,5,12,7,520601
Australia,0.6875,119,33,16,11,518967
South Africa,0.5833333333333334,727,5,12,7,520602
Sri Lanka,0.5217391304347826,327,-3,23,12,518968
Sri Lanka,0.5217391304347826,327,-3,23,12,518969
Sri Lanka,0.5217391304347826,327,-3,23,12,518970
Bangladesh,0.29411764705882354,-418,-11,17,5,535794
Sri Lanka,0.5217391304347826,327,-3,23,12,535795
Pakistan,0.8181818181818182,312,48,22,18,535796
West Indies,0.3157894736842105,-126,-24,19,6,540168
Bangladesh,0.29411764705882354,-418,-11,17,5,535797
India,0.782608695652174,485,36,23,18,535798
Bangladesh,0.29411764705882354,-418,-11,17,5,535800
Australia,0.6875,119,33,16,11,540171
West Indies,0.3157894736842105,-126,-24,19,6,540172
Pakistan,0.7,62,20,20,14,562440
Pakistan,0.7,62,20,20,14,562442
Sri Lanka,0.39285714285714285,-175,-25,28,11,562443
England,0.46153846153846156,-124,-5,13,6,534210
Australia,0.5789473684210527,118,4,19,11,534215
England,0.46153846153846156,-124,-5,13,6,534216
Afghanistan,0.0,0,-16,2,0,555892
England,0.46153846153846156,-124,-5,13,6,534218
New Zealand,0.5555555555555556,433,-5,9,5,560924
West Indies,0.36363636363636365,-183,-6,11,4,560925
New Zealand,0.5555555555555556,433,-5,9,5,560926
New Zealand,0.5555555555555556,433,-5,9,5,560927
Sri Lanka,0.39285714285714285,-175,-25,28,11,564781
Sri Lanka,0.39285714285714285,-175,-25,28,11,564782
India,0.7,194,34,20,14,564783
India,0.7,194,34,20,14,564784
Sri Lanka,0.39285714285714285,-175,-25,28,11,564785
Afghanistan,0.0,0,-16,2,0,571947
England,0.6428571428571429,-56,23,14,9,534229
Australia,0.5789473684210527,118,4,19,11,571145
England,0.6428571428571429,-56,23,14,9,534230
Pakistan,0.6086956521739131,-58,18,23,14,571146
England,0.6428571428571429,-56,23,14,9,534231
Australia,0.5263157894736842,247,-22,19,10,571147
South Africa,0.6666666666666666,338,12,9,6,534232
Bangladesh,0.16666666666666666,-157,0,6,1,587471
West Indies,0.4166666666666667,-212,-13,12,5,587472
West Indies,0.4166666666666667,-212,-13,12,5,587473
Bangladesh,0.16666666666666666,-157,0,6,1,587474
Bangladesh,0.16666666666666666,-157,0,6,1,587475
Pakistan,0.3333333333333333,-247,-8,15,5,589308
India,0.6428571428571429,-157,18,14,9,589309
Pakistan,0.3333333333333333,-247,-8,15,5,589310
India,0.6428571428571429,-157,18,14,9,565812
Sri Lanka,0.43478260869565216,-205,-4,23,10,573014
Sri Lanka,0.43478260869565216,-205,-4,23,10,573015
England,0.8333333333333334,85,38,12,10,565813
Sri Lanka,0.43478260869565216,-205,-4,23,10,573016
New Zealand,0.4,422,-17,10,4,567358
India,0.6428571428571429,-157,18,14,9,565814
South Africa,0.5555555555555556,80,7,9,5,567359
India,0.6428571428571429,-157,18,14,9,565815
Sri Lanka,0.43478260869565216,-205,-4,23,10,573018
South Africa,0.5555555555555556,80,7,9,5,567360
England,0.8333333333333334,85,38,12,10,565816
Australia,0.5263157894736842,327,-29,19,10,573022
West Indies,0.46153846153846156,-126,-13,13,6,573023
West Indies,0.46153846153846156,-126,-13,13,6,573024
Australia,0.5263157894736842,327,-29,19,10,573025
West Indies,0.46153846153846156,-126,-13,13,6,573026
New Zealand,0.4,422,-17,10,4,569240
England,0.8333333333333334,85,38,12,10,569241
England,0.8333333333333334,85,38,12,10,569242
West Indies,0.46153846153846156,-126,-13,13,6,593985
Pakistan,0.46153846153846156,-22,4,13,6,567368
Pakistan,0.46153846153846156,-22,4,13,6,567370
Pakistan,0.46153846153846156,-22,4,13,6,567371
South Africa,0.5555555555555556,212,-3,9,5,567372
Zimbabwe,0.0,-156,-5,2,0,623573
Zimbabwe,0.0,-156,-5,2,0,623574
Zimbabwe,0.0,-156,-5,2,0,623575
Pakistan,0.3076923076923077,-204,1,13,4,601613
New Zealand,0.4,16,-10,10,4,566923
England,0.625,-183,30,16,10,566924
New Zealand,0.4,16,-10,10,4,566925
South Africa,0.5454545454545454,212,0,11,6,578614
West Indies,0.4117647058823529,-28,-22,17,7,578615
Australia,0.625,300,-12,16,10,578616
New Zealand,0.4,16,-10,10,4,578617
Pakistan,0.3076923076923077,-204,1,13,4,578618
India,0.6153846153846154,84,1,13,8,578619
Sri Lanka,0.5,-60,12,12,6,578621
New Zealand,0.4,16,-10,10,4,578624
Australia,0.625,300,-12,16,10,578625
England,0.625,-183,30,16,10,566946
India,0.6153846153846154,84,1,13,8,566947
England,0.625,-183,30,16,10,566948
West Indies,0.4117647058823529,-28,-22,17,7,597923
West Indies,0.4117647058823529,-28,-22,17,7,597924
India,0.6153846153846154,84,1,13,8,597925
India,0.6153846153846154,84,1,13,8,597929
West Indies,0.4117647058823529,-28,-22,17,7,645635
Pakistan,0.3076923076923077,-204,1,13,4,645637
