batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score
Imrul Kayes,Bangladesh,789,0.6430317848410758,34.30434782608695,1.2643942209159602,2.328070848265546,0,0.17846607669616518,0.9025284450063211,0.03745403182654391,2.9357172693330877
IJL Trott,England,335,0.7630979498861048,47.857142857142854,2.962530400413132,1.382598803296905,0,0.08425959125134456,0.9612841539535116,0.021906398854811944,2.8946319928640283
PA Patel,India,109,0.8449612403100775,54.5,3.299004538134973,1.7315254917466654,0,0.027060575968222443,0.9441833521935598,0.47140452079103173,2.893662939785654
MJ Guptill,New Zealand,315,0.7875,22.5,1.7315254917466654,2.8693496462939203,1,0.10305084745762712,0.9508006367637418,0.03650080109608426,2.879170061634674
NM Hauritz,Australia,132,1.1891891891891893,14.125,3.368462523392101,1.7163683912723147,0,0.028689736764270925,1.4499351580096922,0.05699516019683996,2.8734245594709034
KMDN Kulasekara,Sri Lanka,82,0.845360824742268,13.666666666666666,3.1792930482458965,2.737813710965495,1,0.006858262573481384,0.7104353171706306,0.11635250808291205,2.8577606741543344
RE van der Merwe,South Africa,22,1.2222222222222223,11.0,3.131122172150953,2.442423869704948,0,0.003226847370119393,1.484349790254921,0.7071067811865475,2.8324663413166267
GP Swann,England,68,1.0,9.714285714285714,2.962530400413132,2.5140007981404184,1,0.007888131946934385,0.9299231106330424,0.07991784102357004,2.79971204479848
M Muralitharan,Sri Lanka,7,0.875,2.3333333333333335,3.1792930482458965,2.6991158992587856,0,0.0016329196603527107,1.9170476812540824,0.6546536707079771,2.7829938737954976
IR Bell,England,139,0.7128205128205128,46.333333333333336,2.962530400413132,1.3747184978048417,1,0.040157762638938686,0.8300140161022198,0.03065216594579911,2.7800336903680423
CK Kapugedera,Sri Lanka,199,0.6655518394648829,22.11111111111111,3.1792930482458965,2.449994803336222,0,0.033311561071195296,0.9942654075656766,0.055143425398158606,2.770513532580996
SS Tiwary,India,49,0.8596491228070176,24.5,3.299004538134973,2.549994007569383,0,0.012164846077457795,0.9605960034146936,0.0565685424949238,2.765833506445679
N Deonarine,West Indies,297,0.6923076923076923,27.0,1.5858432012749222,2.307431399096947,1,0.171875,0.9279371584699454,0.04692199134400076,2.7594127125608314
DA Miller,South Africa,127,1.2574257425742574,18.142857142857142,3.131122172150953,1.3885126703108768,0,0.03904485317844466,1.3969380803843534,0.05271857622805238,2.75517649709528
KA Pollard,West Indies,347,0.9204244031830239,26.692307692307693,1.5858432012749222,2.434153056489871,0,0.11647727272727272,1.4207351290684627,0.06349185840340892,2.751907935688604
GC Smith,South Africa,310,0.8310991957104558,31.0,3.131122172150953,1.4020405285165203,0,0.07034527266860277,0.8483587190745353,0.0428834060459159,2.748879069148037
CK Langeveldt,South Africa,26,1.3,6.5,3.131122172150953,2.403433228448538,0,0.001936108422071636,1.2468538238141336,0.26413527189768715,2.7446653390476863
AN Cook,England,156,0.8863636363636364,52.0,2.962530400413132,1.2643942209159602,0,0.055934026532807456,1.0115795821245803,0.057353933467640436,2.7425858203389097
R Rampaul,West Indies,51,0.7846153846153846,8.5,1.5858432012749222,2.916127017486238,0,0.019886363636363636,3.2746212121212124,0.16417727582577962,2.7309783468868303
XJ Doherty,Australia,3,1.5,3.0,3.368462523392101,3.1792930482458965,0,0.0,0.0,0.0,2.7262678435576375
Mohammad Hafeez,Pakistan,370,0.7535641547861507,37.0,1.4298806362492829,3.0468262862820423,0,0.09927536231884058,0.8647109683794467,0.04338268913330105,2.710295236467387
BMAJ Mendis,Sri Lanka,47,0.8545454545454545,15.666666666666666,3.1792930482458965,2.5988657506554316,0,0.011430437622468974,1.1502286087524494,0.05961964751378731,2.69866234220884
Umar Akmal,Pakistan,473,0.7641357027463651,33.785714285714285,1.4298806362492829,3.0377698998909968,0,0.06159420289855073,0.7934782608695653,0.05081590509765339,2.690426423786913
KD Mills,New Zealand,204,0.9902912621359223,18.545454545454547,1.7315254917466654,2.7332279525398717,0,0.006101694915254237,2.037966101694915,0.06472895595489857,2.684729683725448
Fawad Alam,Pakistan,393,0.7277777777777777,30.23076923076923,1.4298806362492829,3.1210500333074407,0,0.10652173913043478,0.7525245441795231,0.04336804165554443,2.655912398721739
TT Bresnan,England,155,0.96875,11.923076923076923,2.962530400413132,2.137299881611908,0,0.03513804230907135,1.165045715310147,0.09183324096052044,2.6557363513712113
JW Hastings,Australia,16,1.0666666666666667,16.0,3.368462523392101,3.1792930482458965,0,0.0,0.0,0.0,2.6501174839162935
WD Parnell,South Africa,67,0.7282608695652174,33.5,3.131122172150953,3.299004538134973,0,0.0,0.0,0.04561979233461597,2.6460780320134143
Harbhajan Singh,India,34,0.7083333333333334,8.5,3.299004538134973,2.7419399452467434,0,0.005461767626613704,1.229170804369414,0.16744367165578428,2.6443020319242665
SHT Kandamby,Sri Lanka,65,0.5963302752293578,13.0,3.1792930482458965,3.299004538134973,0,0.01077726975832789,0.744265570369232,0.08497185773241747,2.644119539749013
SW Tait,Australia,1,1.0,1.0,3.368462523392101,2.962530400413132,1,0.0,0.0,0.0,2.640299331354914
LPC Silva,Sri Lanka,72,0.6050420168067226,14.4,3.1792930482458965,2.9198656687940217,0,0.011103853690398433,0.9776943174395819,0.0713739693784753,2.62859505827681
M Vijay,India,178,0.6357142857142857,22.25,3.299004538134973,2.1414643249884238,0,0.030039721946375372,0.7470098811084837,0.12107718969266816,2.6094454432115746
KP Pietersen,England,136,0.7195767195767195,17.0,2.962530400413132,2.5794369099635484,0,0.04589458587307279,0.816103166670339,0.07919849388524858,2.607284377856176
MG Johnson,Australia,78,0.9629629629629629,13.0,3.368462523392101,1.8739851784230588,0,0.012126589766341319,1.111698066486453,0.15007505629691606,2.6065481696738986
DJG Sammy,West Indies,155,1.1923076923076923,17.22222222222222,1.5858432012749222,2.5165338118561866,1,0.024147727272727272,1.084452479338843,0.047195837720411526,2.5956238393285354
Kamran Akmal,Pakistan,357,0.8602409638554217,29.75,1.4298806362492829,3.0024328252442416,0,0.04057971014492753,0.9874396135265701,0.0460720102849827,2.59051715556519
CJ McKay,Australia,6,0.5,2.0,3.368462523392101,1.7315254917466654,2,0.0011830819284235432,0.9327417923691216,0.0,2.5768010349683257
DJ Bravo,West Indies,189,0.8669724770642202,27.0,1.5858432012749222,2.273125608560211,1,0.04261363636363636,1.2383021390374331,0.03899393691417812,2.5733451259709823
LJ Wright,England,172,0.7381974248927039,15.636363636363637,2.962530400413132,2.250877343011174,0,0.03083542488347078,1.0118469835472936,0.06025249402558894,2.5725812098736527
Wahab Riaz,Pakistan,48,1.5483870967741935,12.0,1.4298806362492829,3.131122172150953,0,0.013043478260869565,1.3330434782608696,0.10540925533894598,2.5406220376928217
AC Voges,Australia,103,0.7862595419847328,20.6,3.368462523392101,1.6129236044584914,0,0.028985507246376812,1.0022883295194507,0.06561080935270765,2.539453526029393
Younis Khan,Pakistan,215,0.5733333333333334,21.5,1.4298806362492829,3.249792347771527,1,0.06594202898550725,0.7118952847519903,0.03791549627051586,2.511700794313677
HDRL Thirimanne,Sri Lanka,37,0.7708333333333334,18.5,3.1792930482458965,2.2140673642870974,0,0.007184846505551927,0.9732703612520726,0.20203050891044214,2.4980656447025313
DW Steyn,South Africa,35,1.25,11.666666666666666,3.131122172150953,2.7279507591816228,0,0.0,0.0,0.049487165930539354,2.491205002187095
R Ashwin,India,38,1.1176470588235294,19.0,3.299004538134973,2.455409269996281,0,0.0,0.0,0.03721614637823934,2.4849544271827373
J Theron,South Africa,5,1.0,5.0,3.131122172150953,1.4298806362492829,1,0.0016134236850596966,1.0390448531784446,0.0,2.455750875954194
Pankaj Singh,India,3,1.0,3.0,3.299004538134973,3.1792930482458965,0,0.0,0.0,0.0,2.44899262416976
PJ Ingram,New Zealand,179,0.8325581395348837,29.833333333333332,1.7315254917466654,2.3048520412778424,0,0.11796610169491525,0.9292612727854174,0.04386274306960522,2.441534134045933
RD Berrington,Scotland,37,0.7551020408163265,18.5,1.626689191600398,1.7111962338539188,0,0.3,1.4441860465116279,0.048765984909417075,2.440114812244079
HH Gibbs,South Africa,34,0.6938775510204082,17.0,3.131122172150953,3.299004538134973,0,0.0,0.0,0.07071067811865475,2.4339558377129284
Mushfiqur Rahim,Bangladesh,494,0.7149059334298119,24.7,1.2643942209159602,2.294452160876731,0,0.08702064896755163,1.0085071639275178,0.03986727406763235,2.426921258729065
BAW Mendis,Sri Lanka,2,1.0,2.0,3.1792930482458965,3.299004538134973,0,0.0,0.0,0.0,2.42671349173048
J Botha,South Africa,135,0.8940397350993378,15.0,3.131122172150953,1.605385985173377,0,0.02839625685705066,0.8091676732717091,0.09656090991705352,2.415052279162825
P Kumar,India,37,0.6727272727272727,5.285714285714286,3.299004538134973,2.5088475623758937,0,0.005461767626613704,0.847704003013389,0.16688756360478646,2.412311136608777
MH Yardy,England,121,0.75625,11.0,2.962530400413132,2.089686845573947,0,0.014700609537468627,0.9955753225055881,0.06306920596811008,2.400937446998527
GJ Hopkins,New Zealand,125,0.8169934640522876,15.625,1.7315254917466654,3.3014050982131202,0,0.02440677966101695,1.0189830508474575,0.07117289642120918,2.3828771544580496
MJ Mason,New Zealand,2,2.0,2.0,1.7315254917466654,3.368462523392101,0,0.0,0.0,0.0,2.3788146721751655
Mashrafe Mortaza,Bangladesh,83,0.9120879120879121,10.375,1.2643942209159602,2.5733349461139796,1,0.024336283185840708,1.633887702166616,0.14144661681735152,2.3748062019437053
DE Bollinger,Australia,4,0.8,2.0,3.368462523392101,2.3470279460798986,1,0.0,0.0,0.7071067811865475,2.3703932868137207
MF Maharoof,Sri Lanka,11,0.6111111111111112,5.5,3.1792930482458965,2.364442587192128,1,0.00032658393207054214,0.3834095362508164,0.15713484026367722,2.3658987414516526
T Taibu,Zimbabwe,449,0.6854961832061068,29.933333333333334,1.1291301904392212,2.135850002741205,0,0.11170688114387846,1.0088969581792062,0.03817434809813367,2.3658557676966963
S Chanderpaul,West Indies,297,0.6585365853658537,42.42857142857143,1.5858432012749222,1.9871267540299633,0,0.09943181818181818,0.7442320936639119,0.03400850966988122,2.3527961228456453
Mahmudullah,Bangladesh,462,0.6581196581196581,24.31578947368421,1.2643942209159602,2.5487743919496437,0,0.058997050147492625,0.850868567682727,0.05302428820603497,2.3358814103444163
MJ Prior,England,72,0.7578947368421053,36.0,2.962530400413132,1.2643942209159602,0,0.025815704553603443,0.8649619746749448,0.11785113019775793,2.3341695237547837
Shahzaib Hasan,Pakistan,100,0.847457627118644,33.333333333333336,1.4298806362492829,2.5249364804376033,0,0.036231884057971016,1.3885869565217392,0.04973134750818029,2.3333211321052714
JEC Franklin,New Zealand,240,0.8108108108108109,34.285714285714285,1.7315254917466654,2.4369512572207,0,0.03593220338983051,0.6522476050110538,0.02781100815996885,2.3319291258670636
CK Coventry,Zimbabwe,137,0.85625,27.4,1.1291301904392212,2.908487674807332,0,0.04647006255585344,1.381516234733393,0.056541409128987585,2.330096645039022
Junaid Siddique,Bangladesh,394,0.7111913357400722,30.307692307692307,1.2643942209159602,2.013107117164968,0,0.12684365781710916,0.854548795051597,0.03605551275463989,2.325851335112898
DR Tuffey,New Zealand,81,1.0,11.571428571428571,1.7315254917466654,2.720430801875995,0,0.05220338983050848,1.1942419317390294,0.07825748827231271,2.325106733084324
JA Morkel,South Africa,60,0.8108108108108109,12.0,3.131122172150953,1.6834052383023965,0,0.018393030009680542,0.9253993223620522,0.06274558051381586,2.30800106084696
H Masakadza,Zimbabwe,315,0.7062780269058296,22.5,1.1291301904392212,2.346866929536862,0,0.13941018766756033,1.0415619780188932,0.04212627318711346,2.294780111558103
Abdur Razzak,Bangladesh,66,0.7415730337078652,6.6,1.2643942209159602,2.5763419272490005,2,0.007374631268436578,1.1044928522804631,0.11535049306673643,2.2919472249949
Asad Shafiq,Pakistan,236,0.6941176470588235,23.6,1.4298806362492829,2.860153491158543,0,0.07608695652173914,0.7382361034672538,0.0566098198123625,2.2757359614486052
KAJ Roach,West Indies,3,1.5,1.5,1.5858432012749222,1.1291301904392212,0,0.002840909090909091,2.806818181818182,1.414213562373095,2.265541966260915
DL Vettori,New Zealand,218,0.7569444444444444,18.166666666666668,1.7315254917466654,2.293275710401655,0,0.06644067796610169,1.0369713290036433,0.06836343310556692,2.2585648433962695
