bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
Younis Khan,Pakistan,-0.8723404255319149,1,0.16666666666666666,0.012195121951219513,4,3.5317634173055863,2.1560138195668346,0.004545454545454545,0.02819548872180451,2.934645531911731
SR Tendulkar,India,-0.5,0,0.0,0.0,1,3.6967984535690133,3.1509790209790207,0.0,0.0,2.8957648084859775
T Maruma,Zimbabwe,-0.8333333333333334,2,2.0,0.04,1,1.2943056140646505,0.0,0.1111111111111111,0.2,2.8894965281832703
EC Rainsford,Zimbabwe,-0.5116279069767442,3,1.5,0.06818181818181818,0,1.2943056140646505,2.9025623238876253,0.0,0.0,2.880281434736319
LPC Silva,Sri Lanka,-0.84,1,1.0,0.047619047619047616,1,2.9025623238876253,0.7978609625668449,0.005555555555555556,0.10679611650485438,2.7558443744298557
CK Kapugedera,Sri Lanka,-0.8430232558139535,2,0.5,0.013793103448275862,2,2.9025623238876253,2.0621863114049503,0.005555555555555556,0.05339805825242719,2.7489039767174357
LJ Wright,England,-0.8181818181818182,3,0.75,0.030303030303030304,1,1.9434912142743468,2.279844646651876,0.017857142857142856,0.1,2.741121089518329
RW Price,Zimbabwe,-0.6380368098159509,8,0.8888888888888888,0.02564102564102564,1,1.2943056140646505,3.295813007273851,0.0,0.0,2.729647400294078
SK Raina,India,-1.2222222222222223,0,0.0,0.0,0,3.6967984535690133,3.2171628705966056,0.0,0.0,2.7146051555381905
K Weeraratne,Sri Lanka,-1.1481481481481481,0,0.0,0.0,1,2.9025623238876253,3.6967984535690133,0.0,0.0,2.6548930002522786
M Ntini,South Africa,-1.0603015075376885,2,0.5,0.009478672985781991,1,2.903333848213366,1.7448499709794891,0.007751937984496124,0.10465116279069768,2.6282514739454648
Dolar Mahmud,Bangladesh,-1.5,3,0.75,0.01818181818181818,1,0.7978609625668449,3.377041398254075,0.05555555555555555,0.1,2.6063611137844074
RR Sarwan,West Indies,-1.175257731958763,4,1.3333333333333333,0.03508771929824561,0,1.1489262410949157,3.277907153087876,0.0,0.0,2.6031279266982343
DJ Hussey,Australia,-0.8571428571428571,1,0.5,0.027777777777777776,2,3.1509790209790207,0.9733936018308803,0.00558659217877095,0.05238095238095238,2.586522013391065
CT Tremlett,England,-0.42857142857142855,1,1.0,0.037037037037037035,0,1.9434912142743468,2.279844646651876,0.0,0.0,2.5598562983170585
DBL Powell,West Indies,-0.9027149321266968,8,1.0,0.020050125313283207,0,1.1489262410949157,3.153308180273542,0.0,0.0,2.5290335358778124
Shakib Al Hasan,Bangladesh,-0.7197106690777577,10,1.0,0.02512562814070352,0,0.7978609625668449,3.166156270770729,0.0,0.0,2.5242957531464496
NO Miller,West Indies,-0.8223140495867769,4,1.0,0.020100502512562814,0,1.1489262410949157,3.341371219142304,0.0,0.0,2.4891280961301883
Salman Butt,Pakistan,-1.28,0,0.0,0.0,1,3.5317634173055863,2.2473297080679293,0.0,0.0,2.4565494350662025
DJG Sammy,West Indies,-0.8663101604278075,6,0.75,0.018518518518518517,1,1.1489262410949157,2.9961043474597693,0.0,0.0,2.4199826416057237
RJ Sidebottom,England,-0.8672566371681416,3,0.75,0.015306122448979591,1,1.9434912142743468,2.279844646651876,0.0,0.0,2.4035368198129987
S Matsikenyeri,Zimbabwe,-0.47692307692307695,1,0.5,0.03225806451612903,0,1.2943056140646505,3.2171628705966056,0.0,0.0,2.3879698695235207
