country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,match_id
West Indies,0.4375,-132,-26,16,7,1158070
South Africa,0.5333333333333333,-144,1,15,8,1144167
Australia,0.15384615384615385,-341,-22,13,2,1168243
Ireland,0.375,-163,-6,8,3,1168117
Sri Lanka,0.09090909090909091,-309,-24,11,1,1144168
Ireland,0.375,-163,-6,8,3,1168118
India,0.8235294117647058,318,67,17,14,1168244
Australia,0.15384615384615385,-341,-22,13,2,1168245
Ireland,0.375,-163,-6,8,3,1168119
South Africa,0.5333333333333333,-144,1,15,8,1144170
India,0.6956521739130435,188,58,23,16,1168246
Australia,0.26666666666666666,-255,-31,15,4,1174238
Australia,0.26666666666666666,-255,-31,15,4,1174239
Pakistan,0.625,492,19,16,10,1174240
Pakistan,0.625,492,19,16,10,1174241
Pakistan,0.625,492,19,16,10,1174242
Zimbabwe,0.0,-724,-41,11,0,1179272
England,0.7692307692307693,369,16,13,10,1161014
Ireland,0.42857142857142855,-138,-1,7,3,1168508
Bangladesh,0.5555555555555556,44,-3,18,10,1168509
West Indies,0.35714285714285715,-247,-25,14,5,1168511
Pakistan,0.625,492,19,16,10,1152842
Bangladesh,0.5555555555555556,44,-3,18,10,1168512
England,0.7692307692307693,369,16,13,10,1152843
Bangladesh,0.5555555555555556,44,-3,18,10,1168513
England,0.7692307692307693,369,16,13,10,1152844
Afghanistan,0.5454545454545454,362,-2,11,6,1168515
Pakistan,0.625,492,19,16,10,1152845
Ireland,0.42857142857142855,-138,-1,7,3,1168516
South Africa,0.7647058823529411,166,37,17,13,1144483
West Indies,0.35714285714285715,-247,-25,14,5,1144484
Australia,0.47619047619047616,-114,-15,21,10,1144486
New Zealand,0.6666666666666666,191,11,12,8,1144485
South Africa,0.7647058823529411,166,37,17,13,1144487
England,0.7692307692307693,369,16,13,10,1144488
New Zealand,0.6666666666666666,191,11,12,8,1144491
India,0.6666666666666666,153,58,24,16,1144490
West Indies,0.35714285714285715,-247,-25,14,5,1144492
Bangladesh,0.5555555555555556,44,-3,18,10,1144494
New Zealand,0.6666666666666666,191,11,12,8,1144495
Australia,0.47619047619047616,-114,-15,21,10,1144496
Pakistan,0.4,320,-6,25,10,1144499
England,0.7692307692307693,369,16,13,10,1144501
Sri Lanka,0.07692307692307693,-422,-30,13,1,1144502
Bangladesh,0.5555555555555556,44,-3,18,10,1144505
Afghanistan,0.5454545454545454,362,-2,11,6,1144506
New Zealand,0.6666666666666666,191,11,12,8,1144507
Bangladesh,0.5555555555555556,44,-3,18,10,1144508
England,0.7692307692307693,369,16,13,10,1144509
West Indies,0.35714285714285715,-247,-25,14,5,1144511
Afghanistan,0.5454545454545454,362,-2,11,6,1144510
South Africa,0.7647058823529411,166,37,17,13,1144512
Afghanistan,0.5454545454545454,362,-2,11,6,1144513
England,0.7692307692307693,369,16,13,10,1144514
Pakistan,0.4,320,-6,25,10,1144515
West Indies,0.35714285714285715,-247,-25,14,5,1144516
South Africa,0.7647058823529411,166,37,17,13,1144517
Pakistan,0.4,320,-6,25,10,1144518
New Zealand,0.6666666666666666,191,11,12,8,1144519
India,0.6666666666666666,153,58,24,16,1144520
Ireland,0.42857142857142855,-138,-1,7,3,1168517
West Indies,0.35714285714285715,-247,-25,14,5,1144521
Bangladesh,0.5555555555555556,44,-3,18,10,1144522
New Zealand,0.6666666666666666,191,11,12,8,1144523
Afghanistan,0.5454545454545454,362,-2,11,6,1144524
Zimbabwe,0.08333333333333333,-724,-34,12,1,1168518
Bangladesh,0.5555555555555556,44,-3,18,10,1144525
Australia,0.47619047619047616,-114,-15,21,10,1144527
India,0.6666666666666666,153,58,24,16,1144526
Ireland,0.35714285714285715,-388,-12,14,5,1168519
India,0.6666666666666666,153,58,24,16,1144528
England,0.7272727272727273,567,27,22,16,1144529
Bangladesh,0.5555555555555556,-194,21,27,15,1193504
Sri Lanka,0.07692307692307693,-422,-30,13,1,1193505
Bangladesh,0.5555555555555556,-194,21,27,15,1193506
Oman,0.0,-145,0,1,0,1196670
Scotland,0.0,0,0,0,0,1196672
Oman,0.0,-145,0,1,0,1196673
Papua New Guinea,1.0,0,5,1,1,1196674
Oman,0.0,-145,0,1,0,1196675
United States of America,0.0,0,-5,1,0,1199226
Papua New Guinea,1.0,0,5,1,1,1199227
Namibia,1.0,145,0,1,1,1199229
Papua New Guinea,1.0,0,5,1,1,1199230
Sri Lanka,0.3125,-125,-40,16,5,1198487
Pakistan,0.36363636363636365,-103,-16,22,8,1198488
West Indies,0.3684210526315789,48,-24,19,7,1193497
Afghanistan,0.23076923076923078,-83,-21,13,3,1193498
West Indies,0.3684210526315789,48,-24,19,7,1193499
United States of America,0.6666666666666666,62,0,3,2,1206059
Scotland,0.75,123,-5,4,3,1206060
United Arab Emirates,0.25,-145,-8,4,1,1206062
Scotland,0.75,123,-5,4,3,1206063
United Arab Emirates,0.25,-145,-8,4,1,1206064
West Indies,0.3684210526315789,48,-24,19,7,1187021
West Indies,0.3684210526315789,48,-24,19,7,1187022
India,0.65,183,27,20,13,1187023
Oman,0.6,-230,16,5,3,1211169
Namibia,0.75,172,-1,4,3,1211170
West Indies,0.45454545454545453,-12,1,22,10,1203673
Oman,0.6,-230,16,5,3,1211171
United Arab Emirates,0.25,-145,-8,4,1,1211173
West Indies,0.45454545454545453,-12,1,22,10,1203674
Australia,0.6818181818181818,460,0,22,15,1187027
Australia,0.6818181818181818,460,0,22,15,1187028
India,0.65,183,27,20,13,1187029
South Africa,0.5,-51,13,10,5,1185310
New Zealand,0.75,-94,33,12,9,1187682
Oman,0.6,-230,16,5,3,1215123
United States of America,0.6666666666666666,62,0,3,2,1215124
India,0.65,183,27,20,13,1187683
England,0.7368421052631579,481,28,19,14,1185312
Oman,0.6,-230,16,5,3,1215125
United States of America,0.5555555555555556,160,-7,9,5,1215126
New Zealand,0.75,-94,33,12,9,1187684
Nepal,0.0,0,0,0,0,1215127
Sri Lanka,0.35714285714285715,-11,-38,14,5,1213871
West Indies,0.45454545454545453,-12,1,22,10,1213872
Australia,0.6818181818181818,460,0,22,15,1185319
Zimbabwe,0.2,-5,-6,5,1,1214667
West Indies,0.45454545454545453,-12,1,22,10,1213873
Zimbabwe,0.2,-5,-6,5,1,1214668
South Africa,0.5,-51,13,10,5,1185320
South Africa,0.5,-51,13,10,5,1185321
New Zealand,0.75,-94,33,12,9,1183537
England,0.5,0,-5,2,1,1198247
England,0.5,0,-5,2,1,1198248
Ireland,0.0,0,-6,2,0,1198249
England,0.5,0,-5,2,1,1198238
Australia,0.2857142857142857,-39,-9,7,2,1198239
Australia,0.2857142857142857,-39,-9,7,2,1198240
Pakistan,0.0,0,0,0,0,1233462
India,0.4444444444444444,121,-16,9,4,1223955
India,0.4444444444444444,121,-16,9,4,1223956
