match_id,match_date,team,opponent,location,runs_scored,opponent_base,opponent_trend,opponent_trend_predict,opponent_mean,location_base,location_trend,location_trend_predict,location_mean,current_base,current_trend,current_trend_predict,current_mean,is_train,noise
902647,2015-11-20,England,Pakistan,Dubai International Cricket Stadium,355,250.0,1.0,256.0,253.0,284.40000000000003,-12.200000000000003,211.20000000000002,247.8,284.40000000000003,-12.200000000000003,211.20000000000002,247.8,True,False
953335,2015-12-25,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,131,250.0,-9.200000000000003,204.0,227.0,236.99999999999997,-41.99999999999998,111.00000000000003,174.0,229.4,-6.0000000000000036,193.39999999999998,211.4,True,False
914207,2015-12-26,Sri Lanka,New Zealand,Christchurch,188,182.2,18.200000000000003,291.4,236.8,218.0,0.0,218.0,218.0,235.09999999999997,13.300000000000008,314.9,275.0,True,False
914209,2015-12-28,Sri Lanka,New Zealand,Christchurch,117,170.7,16.900000000000006,272.1,221.4,248.0,-29.99999999999999,158.00000000000003,203.0,173.1,22.300000000000004,306.9,240.0,True,False
953337,2015-12-29,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,253,337.99999999999994,-76.99999999999997,107.00000000000003,222.5,271.8,-21.6,142.2,207.0,271.8,-21.6,142.2,207.0,True,False
914211,2015-12-31,New Zealand,Sri Lanka,Nelson,276,205.7,29.500000000000004,382.70000000000005,294.2,336.2,-12.0,264.2,300.2,336.2,-12.0,264.2,300.2,True,False
953339,2016-01-02,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,175,240.66666666666663,-3.9999999999999916,224.66666666666666,232.66666666666666,253.0,0.0,253.0,253.0,186.3,5.8999999999999995,221.70000000000002,204.0,True,False
953341,2016-01-04,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,226,265.5,-18.900000000000002,171.0,218.25,331.0,-77.99999999999999,97.00000000000006,214.0,163.79999999999998,9.400000000000004,220.2,192.0,True,False
914215,2016-01-05,New Zealand,Sri Lanka,Mount Maunganui,294,297.9,2.7000000000000037,314.1,306.0,230.0,0.0,230.0,230.0,243.8,11.0,309.8,276.8,True,False
953343,2016-01-06,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,248,243.50000000000003,-7.900000000000003,196.10000000000002,219.8,245.0,-13.499999999999995,191.00000000000003,218.0,184.3,6.900000000000001,225.70000000000002,205.0,True,False
895807,2016-01-12,India,Australia,Perth,309,283.7,3.900000000000001,307.1,295.4,200.0,0.0,200.0,200.0,250.4,6.400000000000002,288.8,269.6,True,False
895809,2016-01-15,India,Australia,Brisbane,308,213.79999999999995,24.20000000000001,359.0,286.4,362.99999999999994,-104.99999999999997,48.00000000000006,205.5,250.69999999999996,9.900000000000002,310.09999999999997,280.4,True,False
895811,2016-01-17,India,Australia,Melbourne Cricket Ground,295,333.2,-6.4,294.79999999999995,314.0,257.0,17.499999999999993,327.0,292.0,250.0,12.600000000000003,325.6,287.8,True,False
895813,2016-01-20,Australia,India,Canberra,348,259.2,19.800000000000004,378.0,318.6,329.0,0.0,329.0,329.0,375.3,-17.300000000000008,271.5,323.4,True,False
895815,2016-01-23,Australia,India,Sydney Cricket Ground,330,320.7,5.700000000000001,354.9,337.8,255.9,16.300000000000004,353.70000000000005,304.8,307.6,3.4000000000000012,328.0,317.8,True,False
