batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
TM Dilshan,Sri Lanka,1344,0.9139784946236559,51.69230769230769,9,4,0.24885914207484028,1.187296690970275,860275
TM Dilshan,Sri Lanka,1344,0.9433962264150944,51.69230769230769,9,4,0.24885914207484028,1.0167114977393692,860277
TWM Latham,New Zealand,1144,0.9558303886925795,54.476190476190474,9,5,0.2253748558246828,1.0111977321048902,894287
Sikandar Raza,Zimbabwe,683,0.9404761904761905,44.0,8,1,0.23056300268096513,1.4559328071392412,894289
TWM Latham,New Zealand,1144,1.1836363636363636,54.476190476190474,9,5,0.2253748558246828,1.3981798002219754,894291
RR Rossouw,South Africa,1298,1.3188235294117647,62.27777777777778,9,5,0.2149781410378255,2.0368068856949297,848843
RR Rossouw,South Africa,1298,1.3188235294117647,62.27777777777778,9,5,0.2149781410378255,2.0368068856949297,848845
RR Rossouw,South Africa,1298,1.3188235294117647,62.27777777777778,9,5,0.2149781410378255,2.0368068856949297,848847
SR Watson,Australia,1015,1.233201581027668,56.388888888888886,8,5,0.2203691349788748,1.298643984878808,743977
SR Watson,Australia,1015,1.233201581027668,56.388888888888886,8,5,0.2203691349788748,1.298643984878808,743979
MM Ali,England,659,1.1549295774647887,34.375,6,1,0.139375,1.545,743981
SPD Smith,Australia,1015,1.233201581027668,56.388888888888886,8,5,0.2203691349788748,1.298643984878808,743983
MM Ali,England,659,1.1549295774647887,34.375,6,1,0.139375,1.545,743985
Shoaib Malik,Pakistan,781,1.3386454183266931,60.7,8,3,0.167507204610951,1.5463496637848224,919607
Sikandar Raza,Zimbabwe,482,0.9728601252609603,40.166666666666664,7,1,0.148479427549195,1.145956607495069,919611
WTS Porterfield,Ireland,283,1.0669856459330143,35.375,8,1,0.21875,1.3456670168067228,919613
WTS Porterfield,Ireland,312,1.0669856459330143,39.0,8,1,0.21875,1.1302083333333333,919615
Q de Kock,South Africa,1139,1.3188235294117647,62.27777777777778,9,5,0.25403973509933775,1.4977253267468602,903593
WP Masakadza,Zimbabwe,482,0.9728601252609603,40.166666666666664,7,1,0.148479427549195,1.145956607495069,919617
V Kohli,India,983,1.091588785046729,70.21428571428571,10,2,0.17169728783902014,1.2528081167273446,903595
Shapoor Zadran,Afghanistan,357,0.9466019417475728,39.666666666666664,7,1,0.22358346094946402,1.9914564358829694,924627
Q de Kock,South Africa,1139,1.3188235294117647,62.27777777777778,9,5,0.25403973509933775,1.4977253267468602,903597
Samiullah Shenwari,Afghanistan,357,0.9466019417475728,40.714285714285715,7,1,0.22358346094946402,1.9914564358829694,924629
Sikandar Raza,Zimbabwe,505,0.9728601252609603,42.083333333333336,7,2,0.30695652173913046,1.145956607495069,924633
V Kohli,India,983,1.091588785046729,70.21428571428571,10,2,0.17169728783902014,1.2528081167273446,903599
Q de Kock,South Africa,1139,1.3016241299303943,62.333333333333336,9,5,0.25403973509933775,1.6932381525759008,903601
Tamim Iqbal,Bangladesh,793,1.0193370165745856,46.64705882352941,9,2,0.209353421217828,1.3188125681435228,931390
Tamim Iqbal,Bangladesh,793,1.0193370165745856,46.64705882352941,9,2,0.209353421217828,1.488162496637073,931392
MM Ali,England,887,1.0376569037656904,49.27777777777778,6,2,0.1701931922723091,1.3106809818516352,902641
Tamim Iqbal,Bangladesh,793,1.0193370165745856,46.64705882352941,9,2,0.209353421217828,1.488162496637073,931394
MM Ali,England,887,1.0376569037656904,49.27777777777778,6,2,0.1701931922723091,1.3106809818516352,902643
Wahab Riaz,Pakistan,607,1.3386454183266931,60.7,8,2,0.13220461095100863,1.5463496637848224,902645
