batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
V Sehwag,India,989,1.2601010101010102,47.095238095238095,7,2,0.1581207375599899,1.283110213016755,455232
Tamim Iqbal,Bangladesh,880,0.9292502639915523,36.666666666666664,6,2,0.2094218415417559,1.3589944280042485,455233
V Sehwag,India,989,1.2601010101010102,47.095238095238095,7,2,0.1581207375599899,1.2956810631229234,455234
Tamim Iqbal,Bangladesh,880,0.9292502639915523,38.09090909090909,6,2,0.2094218415417559,1.3589944280042485,455235
WU Tharanga,Sri Lanka,783,1.0282317979197622,53.23076923076923,5,2,0.1412030499858797,1.0916641810163978,455236
PD Collingwood,England,633,1.0049751243781095,45.214285714285715,5,2,0.20760068065796938,1.8328133862733975,426387
PD Collingwood,England,633,1.0049751243781095,45.214285714285715,5,2,0.20760068065796938,1.8328133862733975,426388
WU Tharanga,Sri Lanka,783,1.0282317979197622,53.23076923076923,5,2,0.1412030499858797,1.0916641810163978,455237
PD Collingwood,England,633,1.0049751243781095,45.214285714285715,5,2,0.20760068065796938,1.8328133862733975,426389
PD Collingwood,England,633,1.0049751243781095,45.214285714285715,5,2,0.20760068065796938,1.8328133862733975,426390
PD Collingwood,England,633,1.0049751243781095,45.214285714285715,5,2,0.20760068065796938,1.8328133862733975,426391
PR Stirling,Ireland,38,0.9230769230769231,38.0,1,0,,,450379
PD Collingwood,England,633,1.0,45.214285714285715,5,2,0.20760068065796938,1.241072546331572,426403
PD Collingwood,England,633,1.0049751243781095,49.333333333333336,5,2,0.20760068065796938,1.8328133862733975,426404
Tamim Iqbal,Bangladesh,880,0.9292502639915523,36.666666666666664,6,2,0.2094218415417559,1.3589944280042485,426405
Yuvraj Singh,India,989,1.2601010101010102,48.888888888888886,7,2,0.1581207375599899,1.283110213016755,456662
WU Tharanga,Sri Lanka,1072,1.0603363006923838,51.04761904761905,6,4,0.196492367651835,1.1442405542925191,456664
V Sehwag,India,989,1.2601010101010102,48.888888888888886,7,2,0.1581207375599899,1.283110213016755,456663
RD Berrington,Scotland,55,1.4,55.0,1,0,,,450501
WU Tharanga,Sri Lanka,1072,1.0603363006923838,51.04761904761905,6,4,0.196492367651835,1.1442405542925191,456666
SB Styris,New Zealand,583,0.8614457831325302,35.75,7,3,0.15862068965517243,1.2333101126204575,456665
Yuvraj Singh,India,1099,1.1176470588235294,41.95454545454545,7,3,0.16785329018338727,1.204592688106796,456668
Umar Akmal,Pakistan,507,1.4122562674094707,39.0,6,3,0.2049571020019066,1.6009586219309766,426428
SM Davies,England,800,1.2777777777777777,70.16666666666667,6,2,0.17794028031687995,1.6171828771781083,426429
SM Davies,England,753,1.2777777777777777,70.16666666666667,6,2,0.17794028031687995,1.6171828771781083,426430
